id,kitab,hasil_perawi,matan_inggris,terjemah,matan_indo
1,musnad_syafii,"['Imam Abu Abdullah', 'Muhammad bin Idris Asy', 'Malik bin Anas', 'Shafwan bin Sulaim', 'Sald bin Salamah', ""Ibn Azraq's"", 'Al Mughirah bin Abu Burdah', 'Bani Abdud-Dar', 'Abu Hurairah']","A man once asked the Messenger of Allah sallallaahu 'alaihi wa sallam, to which he said: ""Indeed, we will board a boat in the sea, while we only carry a small supply of fresh water. If we use it for ablution, we will surely be thirsty. Can we perform ablution with sea ​​water?"" Rasulullah shallallahu 'alaihi wa sallam answered: ""The water purifies and the carcass is halal.""","Imam Abu Abdullah Muhammad bin Idris Asy-Syafi'i radliyallahu 'anhu mengabarkan kepada kami, Malik bin Anas mengabarkan kepada kami dari Shafwan bin Sulaim, dari Sald bin Salamah, seseorang dari kalangan keluarga Ibnu Azraq: ia mengatakan bahwa Al Mughirah bin Abu Burdah, ia dari' kalangan Bani Abdud-Dar, ia mengabarkan bahwa ia pernah mendengar Abu Hurairah mengatakan:

Seorang lelaki pernah bertanya kepada Rasulullah shallallahu 'alaihi wa sallam, untuk itu ia berkata: ""Sesungguhnya kami akan menaiki perahu di laut, sedangkan kami hanya membawa sedikit persediaan air tawar. Jika kami memakainya untuk berwudhu, niscaya kami akan kehausan. Bolehkah kami berwudhu dengan air laut?"" Rasulullah shallallahu 'alaihi wa sallam menjawab: ""Airnya menyucikan dan Halal bangkainya.”","Seorang laki-laki pernah bertanya kepada Rasulullah Shallallahu 'alaihi wa sallam, lalu beliau menjawab: “Sesungguhnya kita akan menaiki perahu di tengah laut, sedangkan bekal air tawar yang kita bawa hanya sedikit. pasti akan kehausan. Bolehkah kita berwudhu dengan air laut?” Rasulullah Shallallahu ‘alaihi wa sallam menjawab: “Airnya mensucikan dan bangkainya halal.”"
2,musnad_syafii,"['Al WaJid bin Katsir', ""Muhamad bin Abbad bin Ja'far"", ""Abdullah bin Abdullah bin 'Umar""]","""If the water reaches two qullahs, then it does not contain impurity or impurity.""","Orang yang terpercaya memberitahukan kepada kami dari Al WaJid bin Katsir dari Muhamad bin Abbad bin Ja'far dari Abdullah bin Abdullah bin 'Umar, dari ayahnya bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:

""Apabila air mencapai dua qullah, maka ia tidak mengandung najis atau kotoran.""","“Jika airnya mencapai dua qullah, maka tidak mengandung najis atau najis.”"
3,musnad_syafii,"['Malik', 'Abu Az-Zinad', ""Al-A'raj"", 'Abu Hurairah']","""If a dog drinks from a vessel among you, let him wash it seven times.""","Malik mengabarkan kepada kami dari Abu Az-Zinad dari Al-A'raj, dari Abu Hurairah bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:

""Apabila anjing minum dari wadah seseorang di antara kalian hendaklah ia mencucinya sebanyak tujuh kali.""","“Jika seekor anjing minum dari bejana di antara kamu, hendaklah dia mencucinya tujuh kali.”"
4,musnad_syafii,"['Sufyan bin Uyainah', 'Abu Az-Zinad', ""Al A'raj"", 'Abu Hurairah']","""If a dog licks someone among you, let him wash it seven times.""","Sufyan bin Uyainah mengabarkan kepada kami dari Abu Az-Zinad dari Al A'raj, dari Abu Hurairah bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:

""Apabila seekor anjing menjilat wadah seseorang di antara kalian, hendaklah ia mencucinya sebanyak tujuh kali cucian."" ","“Jika ada anjing yang menjilat seseorang di antara kamu, hendaklah dia memandikannya tujuh kali.”"
5,musnad_syafii,"['Ibn Uyainah', 'Ayyub bin Abu Tamimah', 'Ibn Sirin', 'Abu Hurairah']","""When a dog licks someone among you in a bowl, let him wash it seven times: the first or last wash is mixed with earth.""","Ibnu Uyainah memberitahukan kepada kami dari Ayyub bin Abu Tamimah dari Ibnu Sirin dari Abu Hurairah radliyallahu 'anhu bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:

""Apabila anjing menjilat dalam wadah seseorang di antara kalian, hendaklah ia mencucinya sebanyak tujuh kali: cucian yang pertama atau yang terakhir dicampur dengan tanah."" ","“Apabila ada anjing yang menjilati salah satu diantara kalian dalam mangkok, hendaklah dia mencucinya tujuh kali: pencucian pertama atau terakhir dicampur dengan tanah.”"
6,musnad_syafii,"['Sufyan bin Uyainah', 'Fatima']","I once asked the Prophet sallallaahu 'alaihi wa sallam about menstrual blood on cloth, then he said: ""Scrape it off first, then I check it with water. Then splash it with water, then you can pray wearing that cloth.""

Ar-Rabi' informed us, from Shafi'i at the beginning of the book","Sufyan bin Uyainah mengabarkan kepada kami dari Hisyam, dari Fathimah, dari Asma, ia berkata:

Aku pernah bertanya kepada Nabi shallallahu 'alaihi wa sallam tentang darah haid yang mengenai kain, lalu beliau bersabda: ""Keriklah terlebih dahulu, lalu kucek dengan air. Kemudian cipratilah dengan air, lalu kamu boleh shalat dengan memakai kain itu.""

Ar-Rabi' mengabarkan kepada kami, dari Syafi'i di awal kitab","Aku pernah bertanya kepada Nabi Shallallahu ‘alaihi wa sallam tentang darah haid pada kain, lalu beliau bersabda: “Kikis dulu, lalu aku periksa dengan air. Lalu siram dengan air, barulah kamu bisa shalat memakai kain itu.”

Ar-Rabi' memberitahu kita, dari Syafi'i di awal kitabnya"
7,musnad_syafii,"['Sufyan bin Uyainah', 'Hisyam bin Urwah', '-Fatimah', 'Abu Bakar-']","I once asked the Prophet sallallaahu 'alaihi wa sallam about menstrual blood, so he mentioned something similar to the hadith above.","Sufyan bin Uyainah menceritakan kepada kami. Hisyam bin Urwah mengabarkan kepada kami bahwa ia pernah mendengar istrinya -Fatimah binti Al Mundzir- mengatakan: Aku pernah mendengar nenekku -Asma binti Abu Bakar- berkata:

Aku pernah menanyakan kepada Nabi shallallahu 'alaihi wa sallam tentang darah haid, maka beliau menyebutkan hal yang semisal dengan hadis di atas. ","Saya pernah bertanya kepada Nabi Shallallahu 'alaihi wa sallam tentang darah haid, maka beliau menyebutkan hal serupa dengan hadits di atas."
8,musnad_syafii,"['Malik', 'Hisyam bin Urwah', 'Al Mundzir', 'Abu Bakr']","A woman once asked the Messenger of Allah sallallaahu 'alaihi wa sallam: ""O Rasulullah! What do you think if one of us has menstrual blood on her cloth, what should she do?"" So the Prophet sallallaahu 'alaihi wa sallam said to him: ""If the cloth of one of you is stained with menstrual blood, let him rub it with water, then sprinkle it with water, then he may wear it for prayer.""","Malik mengabarkan kepada kami dari Hisyam bin Urwah, dari Fatimah binti Al Mundzir, dari Asma binti Abu Bakar, ia mengatakan:

Seorang wanita pernah bertanya kepada Rasulullah shallallahu 'alaihi wa sallam: ""Wahai Rasulullah! Bagaimanakah menurutmu bila kain salah seorang dari kami terkena darah haid, apakah yang harus ia perbuat?"" Maka Nabi shallallahu 'alaihi wa sallam bersabda kepadanya: “Apabila kain salah seorang di antara kalian terkena darah haid, hendaklah ia menguceknya dengan air, kemudian mencipratinya dengan air, lalu ia boleh memakainya untuk shalat.""","Seorang wanita pernah bertanya kepada Rasulullah Shallallahu 'alaihi wa sallam: ""Ya Rasulullah! Bagaimana pendapatmu jika salah satu dari kami ada darah haid di bajunya, apa yang harus dia lakukan?"" Maka Nabi Shallallahu ‘alaihi wa sallam bersabda kepadanya: “Jika kain salah satu kalian terkena noda darah haid, hendaklah ia menggosoknya dengan air, lalu memercikkannya dengan air, barulah ia boleh memakainya untuk shalat.”"
9,musnad_syafii,"[""Sa'id bin Salim"", 'Ibn Abu Habibah', 'Ibn Habibah', 'Daud bin Al Hushain', 'Jabir bin Abdullah']","He was once asked: ""Can we perform ablution with donkey water?"" The Prophet sallallaahu 'alaihi wa sallam answered: ""Yes, you can, and also with the drinking water used by all wild animals.""","Sa'id bin Salim mengabarkan kepada kami dari Ibnu Abu Habibah atau Ibnu Habibah, dari Daud bin Al Hushain. dari Jabir bin Abdullah, dari Nabi shallallahu 'alaihi wa sallam, Bahwa

Beliau  pernah ditanya: ""Apakah kami boleh berwudhu dengan air bekas keledai?"" Nabi shallallahu 'alaihi wa sallam menjawab: ""Ya boleh, dan juga dengan bekas air minum semua binatang buas."" ","Beliau pernah ditanya: “Bolehkah kita berwudhu dengan air keledai?” Nabi Shallallahu 'alaihi wa sallam menjawab: ""Iya bisa, dan juga dengan air minum yang digunakan semua hewan liar."""
10,musnad_syafii,"['Malik', 'Ishaq bin Abdullah', ""Ubaid bin Rifa'ah"", ""Ka'ab bin MaJik"", 'Ibn Abu Qatadah', 'Abu Qatadah']","Abu Qatadah came in, then I poured water (preparing) ablution for him, but suddenly a cat came and immediately drank the water. Then he continued his story: So Abu Qatadah looked at me who was looking at him, and he said: ""Are you surprised, O my sister's daughter? Indeed the Messenger of Allah sallallaahu 'alaihi wa sallam once said: 'Indeed this cat is not unclean, it is a male animal and the tame female animals around you.""","Malik mengabarkan kepada kami dari Ishaq bin Abdullah, dari Hamidah binti Ubaid bin Rifa'ah, dari Kabsyah binti Ka'ab bin MaJik yang menjadi istri Ibnu Abu Qatadah. atau Abu Qatadah sendiri -keraguan ini dari Ar-Rabi'- Bahwa

Abu Qatadah masuk, lalu aku menuangkan air (menyiapkan) wudhu untuknya, tetapi tiba-tiba datang seekor kucing dan langsung meminum airnya. Lalu ia melanjutkan kisahnya: Maka Abu Qatadah melihat ke arahku yang sedang memandangnya, dan ia berkata: ""Apakah engkau heran, hai anak perempuan saudaraku? Sesungguhnya Rasulullah shallallahu 'alaihi wa sallam pernah bersabda: 'Sesungguhnya kucing ini tidak najis, ia termasuk hewan jantan dan hewan betina yang jinak yang berada disekeliling kalian'."" ","Abu Qatadah masuk, lalu aku menuangkan air (mempersiapkan) wudhu untuknya, namun tiba-tiba datang seekor kucing dan langsung meminum air tersebut. Kemudian beliau melanjutkan ceritanya: Maka Abu Qatadah memandang ke arahku yang sedang memandangnya, dan dia berkata: “Apakah kamu terkejut wahai putri saudara perempuanku? Sesungguhnya Rasulullah Shallallahu ‘alaihi wa sallam pernah bersabda: ‘Sesungguhnya kucing ini adalah tidak najis, itu adalah hewan jantan dan hewan betina jinak yang ada disekitarmu.”"
